id,Per_No,Razd_No,Podrazd_No,PUNKT,Posts
25,70,III,УЛПУМГ,5,"старший диспетчер"
27,70,III,УЛПУМГ,7,"мастер, мастер ГРС, мастер ЭВС, старший мастер, старший мастер, старший мастер "
35,70,III,УЛПУМГ,1,"главный инженер, зам.начальника управления, начальник управления"
37,70,III,УЛПУМГ,4,"начальник площадки, начальник службы , начальник службы АГНКС, начальник службы ГРС, начальник службы ЛЭС, начальник службы ЭВС"
39,70,III,УЛПУМГ,9,"оператор ГРС 2 разряда, оператор ГРС 4 разряда, оператор ГРС 5 разряда, оператор ГРС 6 разряда"
41,70,III,УЛПУМГ,10,"каменщик 5 разряда, монтер по защите подзем.труб. 5 р, обходчик линейный 4 разряда, плотник 4 разряда, плотник 5 разряда, слесарь  по  КИПиА 4 разряда, слесарь  по КИПиА 5 разряда, слесарь по  КИПиА 5 р., слесарь по КИПиА 6 разряда, слесарь по ремонту т"
45,70,III,УЛПУМГ,6,"бухгалтер, бухгалтер 1 категории (по налоговому учёту), ведущий инженер по охране труда, диспетчер, инженер  ГО,ЧС и МР, инженер (ГРС), инженер (МТС), инженер 1 категории, инженер 1 категории, инженер 1 категории (по регистрации имущества) , инженер 2 к"
46,70,III,"III а",9,"инженер (по регистрации имущества) 1 категории "
