TERR_ID,NAME,KODTERR,IS_OKATO,SHORTNAME
96187,"Печатники",45290582000,1,"Печатники"
96188,"Рязанский",45290586000,1,"Рязанский"
96189,"Текстильщики",45290590000,1,"Текстильщики"
96190,"Южнопортовый",45290594000,1,"Южнопортовый"
96191,"Районы Юго-Западного округа/",45293550000,0,"Районы Юго-Западного округа/"
96192,"Академический",45293554000,1,"Академический"
96193,"Гагаринский",45293558000,1,"Гагаринский"
96194,"Зюзино",45293562000,1,"Зюзино"
96195,"Коньково",45293566000,1,"Коньково"
96196,"Котловка",45293570000,1,"Котловка"
96197,"Ломоносовский",45293574000,1,"Ломоносовский"
96198,"Обручевский",45293578000,1,"Обручевский"
96199,"Северное Бутово",45293582000,1,"Северное Бутово"
96200,"Теплый Стан",45293586000,1,"Теплый Стан"
96201,"Черемушки",45293590000,1,"Черемушки"
96202,"Южное Бутово",45293594000,1,"Южное Бутово"
96203,"Ясенево",45293598000,1,"Ясенево"
96204,"Районы Южного округа/",45296550000,0,"Районы Южного округа/"
96205,"Бирюлево Восточное",45296553000,1,"Бирюлево Восточное"
96206,"Бирюлево Западное",45296555000,1,"Бирюлево Западное"
96207,"Братеево",45296557000,1,"Братеево"
96208,"Даниловский",45296559000,1,"Даниловский"
96209,"Донской",45296561000,1,"Донской"
96210,"Зябликово",45296565000,1,"Зябликово"
96211,"Москворечье-Сабурово",45296569000,1,"Москворечье-Сабурово"
96212,"Нагатино-Садовники",45296571000,1,"Нагатино-Садовники"
96213,"Нагатинский Затон",45296573000,1,"Нагатинский Затон"
96214,"Нагорный",45296575000,1,"Нагорный"
96215,"Орехово-Борисово Северное",45296577000,1,"Орехово-Борисово Северное"
96216,"Орехово-Борисово Южное",45296579000,1,"Орехово-Борисово Южное"
96217,"Царицыно",45296590000,1,"Царицыно"
96218,"Чертаново Северное",45296593000,1,"Чертаново Северное"
96219,"Чертаново Центральное",45296595000,1,"Чертаново Центральное"
96220,"Чертаново Южное",45296597000,1,"Чертаново Южное"
96242,"Отраслевые органы исполнительной власти г. Москвы/",45100000000,0,"Отраслевые органы исполнительной власти г. Москвы/"
96243,"Департамент градостроительной политики, развития и реконструкции",45110000000,0,"Департамент градостроительной политики, развития и реконструкции"
96244,"Департамент здравоохранения",45120000000,0,"Департамент здравоохранения"
96245,"Департамент науки и промышленной политики",45130000000,0,"Департамент науки и промышленной политики"
96246,"Департамент потребительского рынка и услуг",45140000000,0,"Департамент потребительского рынка и услуг"
96247,"Департамент продовольственных ресурсов",45150000000,0,"Департамент продовольственных ресурсов"
96248,"Управление жилищно-коммунального хозяйства и благоустройства",45160000000,0,"Управление жилищно-коммунального хозяйства и благоустройства"
96249,"Управление топливно-энергитического хозяйства",45170000000,0,"Управление топливно-энергитического хозяйства"
96250,"Управление транспорта и связи",45180000000,0,"Управление транспорта и связи"
96251,"Государственная корпорация по содействию разработке, производству и экспорту высокотехнологичной промышленной продукции «Ростехнологии»",41165000000,0,"ГК «Ростехнологии»"
96252,"ФГУП «Рособоронэкспорт»",13161000000,0,"ФГУП «Рособоронэкспорт»"
96253,"Федеральная служба по финансовым рынкам",13374000000,0,"ФСФР России"
