KOPF_ID,KOPF_NAME,KOD,KOD_OLD,kod_old2
90,Советы муниципальных образований субъектов Российской Федерации,20603,,20603
91,Союзы (ассоциации) кредитных кооперативов,20604,,20604
92,Союзы (ассоциации) кооперативов,20605,,20605
93,Союзы (ассоциации) общественных объединений,20606,,20606
94,Союзы (ассоциации) общин малочисленных народов,20607,,20607
95,Союзы потребительских обществ,20608,,20608
96,Адвокатские палаты,20609,,20801
97,Нотариальные палаты,20610,,20802
98,Торгово-промышленные палаты,20611,,20803
103,Садоводческие, огороднические или дачные потребительские кооперативы,20120,,21002
104,Садоводческие, огороднические или дачные некоммерческие партнерства,20617,,21003
105,Адвокатские бюро,20615,,28002
106,Государственные академии наук,75300,,28003
107,Государственные компании,71602,,28004
108,Коллегии адвокатов,20616,,28007
109,Общества взаимного страхования,20108,,28008
110,Общины коренных малочисленных народов Российской Федерации,21200,,28010
111,Объединения работодателей,20612,,28012
112,Отделения иностранных некоммерческих неправительственных организаций,71610,,28014
114,Филиалы юридических лиц,30002,,30002
115,Обособленные подразделения юридических лиц,30003,,30003
116,Структурные подразделения обособленных подразделений юридических лиц,30004,,30004
117,Неправительственные международные организации,40002,,40002
118,Адвокаты, учредившие адвокатский кабинет,50201,,50201
119,Нотариусы, занимающиеся частной практикой,50202,,50202
120,Фонды проката,20121,,
121,Объединения фермерских хозяйств,20613,,
122,Ассоциации (союзы) садоводческих, огороднических и дачных некоммерческих объединений,20618,,
123,Саморегулируемые организации,20619,,
124,Объединения (ассоциации и союзы) благотворительных организаций,20620,,
125,Товарищества собственников недвижимости,20700,,
126,Казачьи общества, внесенные в государственный реестр казачьих обществ в Российской Федерации,21100,,
127,Районные суды, городские суды, межрайонные суды (районные суды),30008,,
128,ОРГАНИЗАЦИОННО-ПРАВОВЫЕ ФОРМЫ ЮРИДИЧЕСКИХ ЛИЦ, ЯВЛЯЮЩИХСЯ КОММЕРЧЕСКИМИ УНИТАРНЫМИ ОРГАНИЗАЦИЯМИ,60000,,
129,ОРГАНИЗАЦИОННО-ПРАВОВЫЕ ФОРМЫ ЮРИДИЧЕСКИХ ЛИЦ, ЯВЛЯЮЩИХСЯ НЕКОММЕРЧЕСКИМИ УНИТАРНЫМИ ОРГАНИЗАЦИЯМИ,70000,,
130,Публично-правовые компании,71600,,
131,Учреждения, созданные Российской Федерацией,75100,,
132,Федеральные государственные автономные учреждения,75101,,
133,Федеральные государственные бюджетные учреждения,75103,,
134,Федеральные государственные казенные учреждения,75104,,
135,Учреждения, созданные субъектом Российской Федерации,75200,,
136,Государственные автономные учреждения субъектов Российской Федерации,75201,,
137,Государственные бюджетные учреждения субъектов Российской Федерации,75203,,
138,Государственные казенные учреждения субъектов Российской Федерации,75204,,
139,Учреждения, созданные муниципальным образованием (муниципальные учреждения),75400,,
140,Муниципальные автономные учреждения,75401,,
141,Крестьянские (фермерские) хозяйства,15300,,
