id,Per_No,Razd_No,Podrazd_No,PUNKT,Posts
68,70,III,а,1,"Главный инженер*, Директор*, Заместитель директора*, Заместитель начальника управления*, Начальник управления*"
74,70,III,а,2,"Начальник службы*, Руководитель учетно-контрольной группы*"
75,70,III,а,4,"Начальник цеха* "
77,70,III,а,7,"Мастер *, Техник по учету (газа)*, Техник*, Техник-прогаммист* "
81,70,III,а,9,"Машинист газотурбинных установок 4 разряда *, Машинист двигателей внутрен. сгорания 5 разряда *, Машинист технологических компрессоров 4 разряда*, Машинист технологических компрессоров 5 разряда*, Машинист технологических компрессоров 6 разряда*, Операт"
82,70,III,а,6,"Бухгалтер, Бухгалтер 2 категории, Ведущий бухгалтер (по налоговому учету), Ведущий инженер, Ведущий инженер по охране окружающей среды, Ведущий инженер по охране труда, Инженер , Инженер - программист 1 категории , Инженер - программист 2 категории, Инж"
83,70,III,а,5,"Диспетчер, Старший диспетчер"
84,70,III,а,10,"Аккумуляторщик 5 разряда, Бетонщик 5 разряда, Каменщик 5 разряда , Лаборант хим.анализа 4 разряда , Лаборант хим.анализа 5 разряда, Маляр 4 разряда , Маляр 5 разряда , Монтер по защите подзем. т/пр от кор-ии 4 разряда, Монтер по защите подзем. т/пр от к"
