F6_ID,ORGID,ORGNAME,F6_SHIFR,ORG_SHIFR,F6_COUNT,KUO_COUNT,RAB_COUNT,ZAP_COUNT,ZAB_COUNT,CHECKED,CONFDATE,SUBJ_ID
19,,"Общество с ограниченой ответственностью ""Газпром ПХГ""",01,,1,1,521,52,2,1,2011-11-29,2
20,,"Общество с ограниченой ответственностью ""Газпром ПХГ""",02,,0,0,,,,1,,2
21,,"Общество с ограниченой ответственностью ""Газпром ПХГ""",03,,0,0,,,,0,,2
22,,"Общество с ограниченой ответственностью ""Газпром ПХГ""",04,,0,0,,,,1,,2
23,,"Общество с ограниченой ответственностью ""Газпром ПХГ""",05,,0,0,,,,0,,2
24,,"Общество с ограниченой ответственностью ""Газпром ПХГ""",06,,0,0,,,,1,,2
